Loc,LocName,LocStAbbrev,LocCnty,LocZone,DirFlo,LocTypeInd,Total_Design_Capacity,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20,08/31/20
"	70004","DOMINION ENERGY TRANSMISSION, INC - CLARINGTON, OH",OH,MONROE,2,D,INT,"593,830", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70011","COLUMBIA GAS OF  PA.  - EAGLE, PA",PA,CHESTER,3,D,INT,"433,289","114,547",105380,98653,105381,112852,125380,125380,114085,120085,114085,91071,79900,79863,93565,96896,106896,96588,101022,106363,98217,124469,102029,102029,97113,102587,99529,88626,99529,99113,97113,91176
"	70017","INDIANA GAS - GREENSBURG, IN",IN,DECATUR,2,D,LDC,"21,573",160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
"	70018","INDIANA GAS - SEYMOUR, IN",IN,JACKSON,2,D,LDC,"57,331",549,549,549,549,599,599,599,599,599,599,599,599,249,249,249,249,249,249,249,249,249,140,140,140,140,140,140,140,140,140,140
"	70020","EQUITRANS - WAYNESBURG, PA",PA,GREENE,2,D,INT,"5,011", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70030","PHILADELPHIA GAS WORKS - POINT BREEZE,PA",PA,PHILADELPHIA,3,D,LDC,"221,946","31,867",32082,29081,29292,32082,32082,32082,32082,32082,32468,32270,31516,32460,37709,39436,39012,39919,39919,38966,37960,37960,37960,37960,36567,35880,36981,37546,34350,36209,37960,36623
"	70033","PECO ENERGY - CROMBY GENERATION, PA",PA,CHESTER,3,D,LDC,"123,798", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70034","PHILADELPHIA GAS WORKS - LEVICK ST., PA",PA,MONTGOMERY,3,D,LDC,"288,841","2,010",2010,2008,2008,2005,2005,2005,2005,2005,2006,1975,1886,1715,1719,1719,1719,1719,1719,1716,1718,1731,1736,1736,1738,1733,1737,1728,1728,1715,1728,1686
"	70035","PECO ENERGY - TILGHMAN ST. - CHESTER, PA",PA,DELAWARE,3,D,LDC,"249,094", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70036","PECO ENERGY - WEST CONSHOHOCKEN, PA",PA,MONTGOMERY,3,D,LDC,"241,034","59,470",58003,58033,60263,60358,61358,60858,57531,57531,57561,58427,60109,62450,60677,58633,58641,58671,61925,59375,60772,61291,59895,59895,59277,63912,62991,62793,58114,56327,57141,56441
"	70039","UNITED CITIES - HARRISBURG, IL",IL,SALINE,1,D,LDC,"20,809","2,000",2000,2000,2000,2000,2000,2000,2000,2000,2000,1500,2000,1500,1500,1500,1500,1500,1500,1500,1500,1500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
"	70041","COLUMBIA GAS - LEBANON, OH",OH,WARREN,2,D,INT,"63,989","15,000",15000,15000,15000,15000,15000,15000,15000,15000,15000,64066,64100,61052,63856,35000,35000,35000,15000,31542,29374,26707,15000,15000,15000,43544,60212,60212,27498,26994,26966,26966
"	70042","UNION ELEC -CAPE GIRARDEAU, MO",MO,SCOTT,1,D,LDC,"248,781","5,890",5990,6490,2379,6804,6174,6074,5984,5537,6774,5066,7174,6447,6198,5845,5980,6980,7576,6898,5959,6891,6254,6321,7170,6080,7268,7736,7281,6583,6615,6968
"	70043","UNION ELECTRIC - DEXTER, MO",MO,STODDARD,1,D,LDC,"63,226", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70051","PEOPLES NAT - SOMERSET, PA",PA,SOMERSET,2,D,LDC,"10,692","1,600",1600,1600,1600,1600,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
"	70056",COLUMBIA GAS OF  PA. -  (UNIONTOWN),PA,FAYETTE,2,D,INT,"55,588", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70057","PUBLIC SERVICE - SOUTH PLAINFIELD, NJ",NJ,MIDDLESEX,3,D,LDC,"46,989","15,100",15100,15100,15100,6617,8457,8457,18515,18515,18515,16626,16596,17047,17123,12482,3181,12072,17786,16176,18780,16940,16940,17722,17935,16126,16173,16225,16235,16940,12783,12783
"	70058","NATIONAL GRID METRO NY, GOETHALS RD., STATEN ISLAND, RICHMO",NY,RICHMOND,3,D,LDC,"90,979","236,266",254521,80793,72791,64553,63753,58353,66581,109412,156630,159385,153553,96029,80308,58930,48981,130487,64730,168861,134423,163699,205886,231098,301086,297054,260575,287208,200916,175696,161420,144460
"	70061","ATMOS ENERGY CORPORATION - SCOTT CO, MO",MO,SCOTT,1,D,LDC,"793,250", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70062","NAT GAS & OIL - SOMERSET, OH",OH,PERRY,2,D,LDC,"24,228","10,989",10989,10989,10989,10989,10989,10989,10989,10989,10992,12156,10989,17989,17989,17989,17989,17989,17989,17989,17989,17989,17989,17989,17989,10989,10989,9739,10989,10989,10989,10989
"	70063","HUNTINGBURG, IN",IN,DUBOIS,2,D,LDC,"52,353",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"	70065","TEXAS GAS TRANSMISSION - LISBON, LA  (DELIVERY)",LA,CLAIBORNE,ETX,D,INT,"35,521", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70066","PUBLIC SERVICE - SEWAREN, NJ",NJ,MIDDLESEX,3,D,LDC,"10,016","12,356",12356,12356,8875,11242,9201,8936,794,7194,15161,13896,17232,15459,12137,5950,5940,5913,1834,12343,1894,1783,98,2926,6268,9663,7449,8030,6387,1513,770,770
"	70069","UGI UTILITIES, INC. (COLUMBIA GAS)  - COLUMBIA, PA",PA,LANCASTER,3,D,LDC,"374,724",744,3403,744,744,744,744,744,744,744,744,744,775,4375,744,744,744,744,744,744,744,2095,744,744,744,744,4298,2244,744,744,744,724
"	70070","UGI UTILITIES, INC. (COLUMBIA GAS) -LANCASTER, PA",PA,LANCASTER,3,D,LDC,"145,137","6,154",7290,31753,23705,20992,22290,7290,4511,15481,7290,16319,22182,18723,10783,7318,-2846,22072,36824,34704,23706,23467,3827,14661,54251,23540,23705,16483,16128,1761,16999,39628
"	70077","COLUMBIA GAS - HOOKER, OH",OH,FAIRFIELD,2,D,INT,"14,434", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70079","ATMOS ENERGY CORPORATION- JIM HILL, MO",MO,DUNKLIN,1,D,LDC,"80,641","2,556",2428,2778,2893,2851,2859,2742,2362,2407,2799,1779,1780,1818,1754,2579,2379,2842,2746,2909,2779,2861,3411,3413,3632,2853,3628,3406,3217,2000,2000,3525
"	70081","COLUMBIA GAS - SABINA, OH",OH,FAYETTE,2,D,INT,"300,949","6,000",6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
"	70087","ALGONQUIN - LAMBERTVILLE, NJ",NJ,HUNTERDON,3,D,INT,"79,987","145,198",160848,216615,156654,157137,136440,125524,126515,181608,249991,272916,278069,266683,181283,173817,164662,174593,177016,128087,130122,210113,133183,190181,193046,210566,171314,100092,110173,129001,138734,309838
"	70089","CONSUMERS GAS CO. - CARMI, IL",IL,WHITE,1,D,LDC,"36,372",115,115,115,115,115,115,115,115,215,165,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
"	70090","SOMERSET GAS - CASEY CO., KY",KY,CASEY,2,D,LDC,"1,171,501", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70092","NORRIS CITY, IL",IL,WHITE,1,D,LDC,"18,561",23,23,23,23,23,23,23,23,23,23,23,23,23,19,23,23,23,23,23,20,12,14,14,14,16,14,14,14,14,14,14
"	70093","JASPER, IN",IN,DUBOIS,2,D,LDC,"10,922",54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,47,48,54,54,54,67,54,54,54,52,54,54
"	70095","NAT GAS - CALDWELL, OH",OH,NOBLE,2,D,LDC,"3,265",300,300,300,300,300,300,300,300,300,300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1281,1281
"	70096","UGI CENTRAL - SHIPPENSBURG - OXFORD, PA",PA,FRANKLIN,3,D,LDC,"11,343",-17,-17,-17,0,0,0,0,0,0,0,0,0,-625,0,0,0,0,0,0,657,0,0,0,0,4714,657,657,0,-11,0,-8
"	70098","FULTON, MS",MS,ITAWAMBA,1,D,LDC,"8,272", -   ,375,300,375,345,275,375,315,215,400,350,350,350,350,350,350,350,350,365,285,415,0,315,400,315,200,0,0,190,365,315
"	70099","BELMONT, MS",MS,FRANKLIN,1,D,LDC,"33,722",69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,118,118,118,118,118,118,118,118,118,118,118,118
"	70100","RED BAY, AL",AL,FRANKLIN,1,D,LDC,"5,080",98,98,98,74,75,89,76,92,95,65,91,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
"	70101",LAWRENCEBURG GAS - TN,TN,LAWRENCE,1,D,LDC,"3,884",450,451,550,550,550,550,550,450,450,550,550,550,550,550,400,400,550,550,550,550,450,450,450,550,650,550,550,400,450,450,550
"	70102","UNIT CITIES - MURFREESBORO, TN",TN,RUTHERFORD,1,D,LDC,"2,786", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70104","LAFAYETTE, TN",TN,MACON,1,D,LDC,"19,467", -   ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,0,0,100,100,100
"	70107","ARKLA INC. - CABOT, AR",AR,LONOKE,1,D,LDC,"29,166",265,265,265,265,265,265,236,236,236,236,236,236,236,236,236,236,236,236,236,161,161,61,61,61,61,61,61,61,56,56,55
"	70108","ARKLA INC. - BEEBE, AR",AR,WHITE,1,D,LDC,"2,786",90,90,90,90,90,90,61,61,61,61,61,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,56
"	70109","ARKLA INC. - LIGHT, AR",AR,GREENE,1,D,LDC,"9,268",186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186
"	70110","ASSOC NAT GAS - PIGGOTT, AR",AR,CLAY,1,D,LDC,"6,709", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	70119","CHAMBERSBURG, PA",PA,FRANKLIN,3,D,LDC,"10,602",982,982,971,982,982,982,982,982,982,982,928,880,925,940,982,982,982,982,982,982,982,982,982,981,943,982,982,982,981,982,1173
"	70122","CAIRO, PUBLIC",IL,UNION,1,D,LDC,"26,886","3,387",3387,3387,2272,3387,3387,3387,3387,3387,3387,2749,3387,3387,3387,3387,3387,3387,3387,3101,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3387,3390
