Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Stat Ind,Loc Type Ind,Eff Date,Inact Date,TSP,TSP Name,TSP FERC CID,Update D/T,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name
70059,"Chevron - Perth Amboy, NJ",NJ,MIDDLESEX,3,Delivery,UNK,UNK,,,,,,,,,,,,,,
70372,"Dominion Energy Transmission, Inc - Moundsville, WV",WV,MARSHALL,2,Delivery,UNK,UNK,,,,,,,,,,,,,,
70691,"Inca Oil & Gas Co..-#1 Wilkinson,Goliad Co., TX",TX,GOLIAD,STX,Receipt,UNK,UNK,,,,,,,,,,,,,,
72303,"Mineral Development, Inc. - Smith / DeSoto Psh., LA",LA,MANSFIELD,ETX,Receipt,UNK,UNK,,,,,,,,,,,,,,
72592,"TransTexas Transm Corp. - Nueces Co., TX",TX,NUECES,STX,Receipt,UNK,UNK,,,,,,,,,,,,,,
72750,"Bishop Pipeline - Estate Tract 66-72 #1, Calhoun Co., TX",TX,CALHOUN,STX,Receipt,UNK,UNK,,,,,,,,,,,,,,
72825,"Assoc. Natural Gas, Inc. -  Lateral - Lavaca Co., TX",TX,LAVACA,STX,Receipt,UNK,UNK,,,,,,,,,,,,,,
72988,"EQM Gathering Opco - Westmoreland Co., PA",PA,WESTMORELAND,2,Delivery,UNK,UNK,,,,,,,,,,,,,,
73054,"Atlas America - Joseph MM, Fayette Co., Pa",PA,FAYETTE,2,Receipt,UNK,UNK,,,,,,,,,,,,,,
73133,"Atlas Pipeline Pa. LLC - Fayette Co., PA",PA,FAYETTE,2,Receipt,UNK,UNK,,,,,,,,,,,,,,
73149,"Wynn-Crosby Energy, Inc. - Willacy Co., TX",TX,WILLACY,STX,Receipt,UNK,UNK,,,,,,,,,,,,,,
73186,"DCP Midstream, LP -- Lavaca Co., TX",TX,LAVACA,STX,Receipt,UNK,UNK,,,,,,,,,,,,,,
